frontyear,backyear,month,day,location,temp_avg,temp_min,temp_max
19,54,1,18,seoul,1.4,-2.2,4.8
19,54,1,19,seoul,1.5,-1.3,5.8
19,54,1,20,seoul,4.7,-1.5,10.7
19,54,1,21,seoul,2.8,0.5,5.5
19,54,1,22,seoul,-2.1,-6.4,1.6
19,54,1,23,seoul,-6,-9.1,-2.6
19,54,1,24,seoul,-7.1,-9.8,-3.4
19,54,1,25,seoul,-8.4,-11.7,-5
19,54,1,26,seoul,-5.4,-11.9,-0.3
19,54,1,27,seoul,-1.1,-5.6,3.4
19,54,1,28,seoul,-5.8,-8.6,-2.1
19,54,1,29,seoul,-5.4,-10.6,-0.4
19,54,1,30,seoul,-3.6,-10,3.6
19,54,1,31,seoul,-3.3,-6.2,-0.2
19,54,2,1,seoul,-5,-8.2,-0.6
19,54,2,2,seoul,-8.1,-12.3,-3.2
19,54,2,3,seoul,-7.6,-13.9,-1.5
19,54,2,4,seoul,-6.3,-12,0
19,54,2,5,seoul,-5.6,-11.5,-0.2
19,54,2,6,seoul,-5.1,-10.6,-0.5
19,54,2,7,seoul,-3.2,-10.8,3
19,54,2,8,seoul,0.1,-7.1,6.2
19,54,2,9,seoul,1.5,-5.1,8.1
19,54,2,10,seoul,4.8,-1.7,9.9
19,54,2,11,seoul,7.1,5,8.6
19,54,2,12,seoul,0.1,-4.3,5.7
19,54,2,13,seoul,1.3,-4.3,6.3
19,54,2,14,seoul,5,1.2,10.5
19,54,2,15,seoul,3.5,1.4,6.1
19,54,2,16,seoul,7.3,2.5,11
19,54,2,17,seoul,1.7,-3.4,6.6
19,54,2,18,seoul,-4.7,-8,-0.4
19,54,2,19,seoul,-2.4,-9.5,3.8
19,54,2,20,seoul,0.4,-3.7,5.6
19,54,2,21,seoul,-3.8,-7.1,-0.4
19,54,2,22,seoul,-2.7,-9.2,2.9
19,54,2,23,seoul,1.9,-2.6,7
19,54,2,24,seoul,5.3,-3.2,12.2
19,54,2,25,seoul,8.8,5.9,10.8
19,54,2,26,seoul,7.7,5.6,10
19,54,2,27,seoul,6,3.4,7.8
19,54,2,28,seoul,4.3,2,6.4
19,54,3,1,seoul,5.4,3.2,7.2
19,54,3,2,seoul,4.2,0.4,9.4
19,54,3,3,seoul,-0.1,-2.6,4
19,54,3,4,seoul,0,-3.6,4.6
19,54,3,5,seoul,-1,-4.9,4.4
19,54,3,6,seoul,-2.9,-6.8,1.2
19,54,3,7,seoul,-2.8,-7.4,1.9
19,54,3,8,seoul,0.6,-4.8,5.8
19,54,3,9,seoul,1.9,-1.1,6.8
19,54,3,10,seoul,5.1,-0.3,10.4
19,54,3,11,seoul,5,-0.1,11.5
19,54,3,12,seoul,-4,-6.6,0.2
19,54,3,13,seoul,-3.3,-7.8,2
19,54,3,14,seoul,0.9,-3.2,6
19,54,3,15,seoul,0.8,-3.8,5.8
19,54,3,16,seoul,2.2,-3,8
19,54,3,17,seoul,4.2,-2.5,11.3
19,54,3,18,seoul,6.2,-1.6,13.9
19,54,3,19,seoul,2.1,-1.2,8.8
19,54,3,20,seoul,0.1,-2.8,3.1
19,54,3,21,seoul,1.1,-3.6,6.7
19,54,3,22,seoul,1.8,-3.6,8.2
19,54,3,23,seoul,4,-1.6,10.9
19,54,3,24,seoul,6.4,1.1,12.8
19,54,3,25,seoul,9.3,0.7,17
19,54,3,26,seoul,12.2,3.9,18.2
19,54,3,27,seoul,10.2,8,13.2
19,54,3,28,seoul,7.4,3.4,12
19,54,3,29,seoul,5.2,0.3,11.3
19,54,3,30,seoul,6.5,0.6,12.2
19,54,3,31,seoul,8.9,0.8,16.3
19,54,4,1,seoul,12.2,5.7,20.2
